Department,Department Name,Division,Gender,Base Salary,2024 Overtime Pay,2024 Longevity Pay,Grade
DOT,Department of Transportation,DOT 50 Highway Services,F,83837,17425.48,5259.22,15
DGS,Department of General Services,DGS 36 Building Design and Construction,F,138535,0,0,N28
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,194980,0,0,M2
DEP,Department of Environmental Protection,DEP 80 Waste Reduction and Recycling,F,169555,0,0,M3
BOA,Board of Appeals Department,BOA 02 Board of Appeals Division,F,95458,0,5988.2,N18
COR,Correction and Rehabilitation,COR 42 MSD Fiscal Services,F,127509.43,0,7845.63,N26
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,108899,0,9070.24,21
HCA,Department of Housing and Community Affairs,HCA 76 Finance and Administration Division,F,119032,0,7467.13,N23
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,M,217338.65,0,0,M1
DPS,Department of Permitting Services,DPS 75 Customer Support,M,91392,22.91,8740.19,17
PRO,Office of Procurement,PRO 35 Procurement Services Section,M,87523,0,5490.56,16
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,123385.21,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,87523,5779.52,7939.98,16
FIN,Department of Finance,FIN 32 General Accounting,F,130181,0,8166.53,N25
FRS,Fire and Rescue Services,FRS 45 Procurement,F,87523,0,8370.23,16
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,130181,0,0,N25
DGS,Department of General Services,DGS 36 Real Estate Office,F,95458,0,2946.31,18
CEC,Community Engagement Cluster,CEC 16 Business Management,F,87523,2333.76,5490.56,N16
LIB,Department of Public Libraries,LIB 71 Director's Office,F,87523,0,5490.56,16
POL,Department of Police,POL 47 MSB Management and Budget Division,F,87523,12173.85,5490.58,16
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,106210.57,0,0,21
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,62815.5,161.38,3189.37,16
REC,Department of Recreation,REC 72 Facilities Division,M,108899,480.7,6831.44,21
DPS,Department of Permitting Services,DPS 75 Customer Support,F,99719,0,9536.59,19
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,M,130181,2250.68,8166.53,N25
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,113837,0,3924.58,22
FRS,Fire and Rescue Services,FRS 45 Budgets and Grants,F,119032,0,7467.13,23
FRS,Fire and Rescue Services,FRS 45 Property and Supply,M,91392,306.91,2820.75,17
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,136188,0,8543.3,N26
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,M,110588,0,0,N23
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,149112,0,0,N28
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,217359,0,0,M1
DPS,Department of Permitting Services,DPS 75 Central Services Unit,F,108899,0,6831.44,N21
HRC,Office of Human Rights,HRC 46 Director's Office,M,87523,3221.95,0,N16
BOA,Board of Appeals Department,BOA 02 Board of Appeals Division,F,85375.01,0,0,N16
DPS,Department of Permitting Services,DPS 75 Director's Office,M,147853.41,0,1053.92,M3
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,173574.12,0,0,M2
DOT,Department of Transportation,DOT 50 Transportation Engineering Administration,F,130181,0,8166.53,N25
FRS,Fire and Rescue Services,FRS 45 EMS Billing,F,165313.09,0,0,M3
FIN,Department of Finance,FIN 32 Division of the Treasury,M,194980,0,0,M2
FIN,Department of Finance,FIN 32 Tax Operations,F,87523,128.79,5490.56,16
FIN,Department of Finance,FIN 32 Operations and Administration - Risk Management,F,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,87523,0,8370.23,16
PRO,Office of Procurement,PRO 35 Procurement Services Section,F,165074.54,0,0,M3
CEC,Community Engagement Cluster,CEC 16 Regional Services Centers,M,200000,0,0,EX3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,F,130181,0,8166.53,25
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,201941,0,0,M1
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181,0,8166.53,N25
OIG,Office of the Inspector General,OIG 06 Office of the Inspector General,F,149112,0,9354.05,N28
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,87523,0,5490.56,16
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,130181,0,4017.99,N25
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,108899,0,3361.18,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,87523,864.31,8370.23,16
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,83754,0,4094.63,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,119032,0,7467.13,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,108552.58,0,0,N21
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,91392,0,5733.27,N17
DGS,Department of General Services,DGS 36 Administration and Budget,F,130181,0,8166.53,N25
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,108899,0,1326.14,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,169555,0,0,M3
FIN,Department of Finance,FIN 32 Director's Office,F,217359,0,0,M1
DOT,Department of Transportation,DOT 50 Highway Services,F,95458,13687.56,3792.78,18
POL,Department of Police,POL 47 MSB Management and Budget Division,F,113377.47,338.66,0,23
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,91392,0,5733.27,N17
FIN,Department of Finance,FIN 32 Grants Accounting,M,119032,0,11383.55,23
FIN,Department of Finance,FIN 32 Accounts Payable,F,87523,0,6626.74,16
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,163363,0,0,N30
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,F,119032,0,7467.13,N23
REC,Department of Recreation,REC 72 Facilities Division,M,130181,0,0,N25
DEP,Department of Environmental Protection,DEP 80 Strategic Services Division,M,130181,0,1896.68,25
DOT,Department of Transportation,DOT 50 Highway Services,M,113837,16958.19,10886.73,22
DOT,Department of Transportation,DOT 50 Highway Administration,M,169555,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,149112,0,7928.86,N28
DEP,Department of Environmental Protection,DEP 80 Materials Management,M,142495,0,8938.92,27
REC,Department of Recreation,REC 72 Countywide Programs,F,87523,0,5490.56,16
DGS,Department of General Services,DGS 36 Central Duplicating,M,70775,0,6768.47,11
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,104197,3557.59,9964.8,20
DGS,Department of General Services,DGS 36 Facilities Major Programs,M,149112,0,14260.29,28
REC,Department of Recreation,REC 72 Facilities Division,F,101175,0,2820.07,21
REC,Department of Recreation,REC 72 Facilities Division,F,147095.9,0,0,M3
OHR,Office of Human Resources,OHR 33 Recruitment and Selection,F,130181,0,8166.53,N25
FRS,Fire and Rescue Services,FRS 45 Admin Services,F,119032,32516.5,7467.13,N23
PRO,Office of Procurement,PRO 35 Procurement Operations Section,F,142495,0,4398.04,27
LIB,Department of Public Libraries,LIB 71 White Oak Library,F,167123.6,0,0,N25
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,124464,17644.79,7807.8,N24
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,169555,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,130181,0,8166.53,N25
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,M,193105.77,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032,0,0,N23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,149112,0,9354.05,N28
DOT,Department of Transportation,DOT 50 Highway Services,M,136188,0,8543.3,N26
DOT,Department of Transportation,DOT 50 Transportation Management,F,83837,745.66,8017.77,15
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,149112,0,14260.29,28
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,65642.25,0,485.28,16
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,F,129476.67,0,0,N25
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,F,87523,837.09,5490.56,16
DGS,Department of General Services,DGS 36 Property Management,M,124464,16210.11,948.66,N24
FIN,Department of Finance,FIN 32 Accounts Receivable,F,169555,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,87523,0,2701.48,16
DOT,Department of Transportation,DOT 50 Transit Management Services,M,130181,0,1118.08,N25
FRS,Fire and Rescue Services,FRS 45 Internal Affairs,F,87523,0,8370.23,16
DOT,Department of Transportation,DOT 50 Transit Management Services,F,130181,0,8166.53,N25
DEP,Department of Environmental Protection,DEP 80 Resource Conversion,F,130181,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523,0,5490.56,16
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,136188,0,902.73,N26
DGS,Department of General Services,DGS 36 Contracting and Accounts Payable,M,87523,0,5490.56,16
DGS,Department of General Services,DGS 36 Central Duplicating,M,169555,0,0,M3
POL,Department of Police,POL 47 MSB Management and Budget Division,F,162254,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,119032,0,3539.7,23
ABS,Alcohol Beverage Services,ABS 85 Administration,M,194980,0,0,M2
HCA,Department of Housing and Community Affairs,HCA 76 Asset Management,F,130181,0,8166.53,25
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,119032,0,0,N23
DGS,Department of General Services,DGS 36 Fleet Management Services,F,130181,903.27,0,N25
DGS,Department of General Services,DGS 36 Contracting and Accounts Payable,M,119032,0,7467.13,23
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,76986,0,7362.67,13
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032,0,11383.55,23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76986,0,7362.67,13
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,130181,0,8166.53,N25
DPS,Department of Permitting Services,DPS 75 Customer Support,F,91392,0,8740.19,17
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,F,108899,1383.08,5827,13
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,108899,0,0,21
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,87523,365.11,2701.48,16
CUS,Community Use of Public Facilities,CUS 70 Finance and Administrative Support Team,M,149112,0,9354.05,N28
FIN,Department of Finance,FIN 32 Tax Operations,F,166958.66,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,87523,0,0,16
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,71525,0,0,13
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,119032,0,297.58,23
FIN,Department of Finance,FIN 32 Tax Operations,F,106694.35,0,0,N21
FRS,Fire and Rescue Services,FRS 45 Length of Service Awards Program,F,108899,0,6831.44,21
OHR,Office of Human Resources,OHR 33 Director's Office,F,238000,0,0,EX1
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,104197,0,6536.46,20
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,163363,0,10248.09,N30
DGS,Department of General Services,DGS 36 Property Management,M,124464,21507.99,7807.8,N24
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,99710,0,1573.24,20
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,127509.43,0,0,N25
FRS,Fire and Rescue Services,FRS 45 Procurement,F,87523,0,3693.77,16
DPS,Department of Permitting Services,DPS 75 Zoning Review,M,124464,0,4791.51,24
FRS,Fire and Rescue Services,FRS 45 Fleet Support,F,91347,0,3451.54,N18
LIB,Department of Public Libraries,LIB 71 Gaithersburg Library,M,162254,0,0,M3
DGS,Department of General Services,DGS 36 Property Management,M,124464,56917.39,0,N24
REC,Department of Recreation,REC 72 Business Services,F,87523,1345.8,3693.77,16
FIN,Department of Finance,FIN 32 Tax Operations,F,87523,32.2,5490.56,16
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181,0,4017.99,N25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,105579.56,0,0,N21
DPS,Department of Permitting Services,DPS 75 Central Services Unit,F,142495,0,0,N27
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,87523,0,5487.47,16
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,95458,0,0,N18
DGS,Department of General Services,DGS 36 Building Design and Construction,F,87523,0,8370.23,16
FIN,Department of Finance,FIN 32 Grants Accounting,M,136188,0,0,N26
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,108899,0,10414.6,21
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,M,59515.71,0,6199.67,23
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,130181,0,0,N25
FIN,Department of Finance,FIN 32 Treasury Operations,F,91392,0,5733.27,N17
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,F,108899,0,10414.6,21
CUS,Community Use of Public Facilities,CUS 70 Director,F,217359,0,0,M1
DOT,Department of Transportation,DOT 50 Parking Management Administration,M,108899,0,6581.87,21
DGS,Department of General Services,DGS 36 Central Services,F,175559.61,0,0,M2
DOT,Department of Transportation,DOT 50 Highway Services,M,136188,0,8543.3,N26
FIN,Department of Finance,FIN 32 Timekeeping and Payroll,F,194980,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523,0,8370.23,16
OLR,Office of Labor Relations,OLR 26 Labor Relations Division,F,130181,0,0,N25
PRO,Office of Procurement,"PRO 35 MFD (Minority, Female, and Disabled Persons Program)",M,119032,0,11205.43,23
DOT,Department of Transportation,DOT 50 Transportation Engineering Administration,M,136188,0,13024.23,26
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,240000,0,0,EX1
DOT,Department of Transportation,DOT 50 Commuter Services,F,87523,0,2701.48,16
POL,Department of Police,POL 47 FSB Traffic Division Automated Traffic Enforcement Section,M,119032,0,0,N23
FRS,Fire and Rescue Services,FRS 45 Procurement,F,108899,0,10391.37,21
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,104197,0,6536.46,20
FIN,Department of Finance,FIN 32 Division of Fiscal Management,F,194980,0,0,M2
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,108899,0,6831.44,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Infrastructure and Cloud Services,M,186124,0,11675.79,N34
DGS,Department of General Services,DGS 36 Fleet Management Administration,F,91392,2440.64,5733.27,N17
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,119032,0,3673.91,N23
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,104197,0,6536.46,20
DOT,Department of Transportation,DOT 50 Transportation Management,M,83837,3113.75,5259.22,15
DPS,Department of Permitting Services,DPS 75 Customer Support,F,99719,757.5,9268.32,19
DPS,Department of Permitting Services,DPS 75 Customer Support,M,91392,0,8740.19,17
OCP,Office of Consumer Protection,OCP 39 Investigations,M,130181,0,8166.53,25
DGS,Department of General Services,DGS 36 Building Design and Construction,F,169555,0,0,M3
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,136188,0,2784.54,N26
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,147028.19,0,0,28
OHR,Office of Human Resources,OHR 33 Health and Employee Welfare,F,130181,0,3568.83,N25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181,0,0,N25
DPS,Department of Permitting Services,DPS 75 Customer Support,M,91392,9262.13,8740.19,17
DGS,Department of General Services,DGS 36 Director,M,246000,0,0,EX1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Strategy and Planning,F,194980,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,130181,0,8166.53,N25
DOT,Department of Transportation,DOT 50 Transportation Construction Section,F,108899,12607.7,10321.79,21
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,F,142691,0,6976.01,28
PRO,Office of Procurement,PRO 35 Procurement Services Section,F,76986,0,4829.55,13
FIN,Department of Finance,FIN 32 Management and Operations - Director,F,149112,0,4602.26,N28
DGS,Department of General Services,DGS 36 Real Estate Office,F,87523,0,8370.23,16
FIN,Department of Finance,FIN 32 Tax Operations,F,87523,804.9,5490.56,16
FRS,Fire and Rescue Services,FRS 45 Facilities,M,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,130181,0,825.41,N25
DGS,Department of General Services,DGS 36 Building Design and Construction,M,149112,0,4602.26,28
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,152658.66,0,1058.83,M3
PRO,Office of Procurement,PRO 35 Office of Procurement,F,155134.41,0,0,M3
OAS,Office of Animal Services,OAS 38 Animal Services Division,F,87523,780.74,8370.23,16
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,M,136188,0,5338.06,N26
FRS,Fire and Rescue Services,FRS 45 Volunteer Services Division,F,87523,432.16,5490.56,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523,0,8370.23,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,2390.63,3216,20
HCA,Department of Housing and Community Affairs,HCA 76 Licensing,F,108899,0,10414.6,21
POL,Department of Police,POL 47 MSB Management and Budget Division,F,130181,893.91,8166.53,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311,F,130181,0,5654.75,N25
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,127806.91,0,0,N25
DGS,Department of General Services,DGS 36 Fleet Management Services,F,157528,0,0,M3
DGS,Department of General Services,DGS 36 Building Design and Construction,M,169354.11,0,1989.88,M3
OHR,Office of Human Resources,OHR 33 Professional Learning and Org Development,F,130181,0,2510.5,N25
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,101175,0,287.21,N21
DOT,Department of Transportation,DOT 50 Commuter Services,F,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,87523,0,8370.23,16
FRS,Fire and Rescue Services,FRS 45 Training,F,115856.97,0,0,N25
REC,Department of Recreation,REC 72 Youth Development,M,119032,0,0,N23
REC,Department of Recreation,REC 72 Countywide Programs,M,108899,855.39,10414.6,21
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,113837,29969.59,7141.27,22
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,F,130181,0,0,N25
DOT,Department of Transportation,DOT 50 Director Management Services,M,149112,0,9354.05,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,104197,0,9964.8,20
DOT,Department of Transportation,DOT 50 Director Management Services,M,194980,0,0,M2
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,166343.9,0,0,M3
COR,Correction and Rehabilitation,COR 42 DS Food Services,F,87523,807.5,5490.56,16
PRO,Office of Procurement,PRO 35 Procurement Operations Section,M,119032,0,7194.35,23
OHR,Office of Human Resources,OHR 33 Equal Employment Opportunity & Diversity,F,191053.8,0,0,M2
DOT,Department of Transportation,DOT 50 Transportation System Engineering,M,169555,0,0,M3
PRO,Office of Procurement,PRO 35 Procurement Operations Section,M,130181,0,4690.07,25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,130181,0,8166.53,N25
DGS,Department of General Services,DGS 36 Building Design and Construction,M,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523,0,5490.56,16
FIN,Department of Finance,FIN 32 General Accounting,M,136188,0,0,N26
DPS,Department of Permitting Services,DPS 75 Customer Support,F,91392,0,8682.1,17
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,130181,0,8166.53,N25
DOT,Department of Transportation,DOT 50 Director's Office,F,169555,0,0,M3
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,168271.96,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Station 35,F,136743,24223.59,11049.3,B2
REC,Department of Recreation,REC 72 Countywide Programs,M,108899,0,10414.6,21
DPS,Department of Permitting Services,DPS 75 Customer Support,M,91392,0,8740.19,17
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,113906,8391.23,9495.27,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,F,149112,0,4602.26,N28
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,194980,0,0,M2
DOT,Department of Transportation,DOT 50 Parking Management Administration,M,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,87523,0,3693.78,16
DGS,Department of General Services,DGS 36 Fleet Management Administration,F,119032,5053.97,11202.35,23
DEP,Department of Environmental Protection,DEP 80 Watershed Restoration Division,F,186510.97,0,0,M2
LIB,Department of Public Libraries,LIB 71 Business Office,M,119032,0,3673.91,N23
HRC,Office of Human Rights,HRC 46 Director,M,217065.72,0,0,M1
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,M,119032,0,3673.91,23
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,87523,0,2701.48,16
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,M,130181,0,8166.53,N25
OLO,Office of Legislative Oversight,OLO 03 Legislative Oversight Staff,M,194980,0,0,M2
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,87523,0,5178.77,16
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032,0,3814.28,N23
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,95458,0,5620.97,18
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,168723.44,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,194980,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523,0,8370.23,16
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,104197,0,6526.96,20
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,95458,0,7832.48,18
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,130181,0,8166.53,N25
DOT,Department of Transportation,DOT 50 Director Transportation Policy,M,217359,0,0,M1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,F,149112,0,4602.26,N28
OHR,Office of Human Resources,OHR 33 Recruitment and Selection,F,130181,0,4017.99,N25
PRO,Office of Procurement,PRO 35 Procurement Operations Section,F,130181,0,12449.85,25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,87523,2646.72,8370.23,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,3396.39,7756.21,20
HCA,Department of Housing and Community Affairs,HCA 76 Community Development Neighborhood Revitalization,F,130181,0,12449.85,25
COR,Correction and Rehabilitation,COR 42 PTS Assessment,F,136188,0,8543.3,N26
DEP,Department of Environmental Protection,"DEP 80 Energy, Climate and Compliance Division",M,194980,0,0,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP OBP Digital Equity (GF),F,194980,0,0,M2
DGS,Department of General Services,DGS 36 Facilities Major Programs,M,119032,47616.86,7467.13,N23
HCA,Department of Housing and Community Affairs,HCA 76 Information Technology,F,163363,0,0,N30
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,99719,2522.9,1214.34,19
DOT,Department of Transportation,DOT 50 Traffic Engineering and Operations Management Services,F,169555,0,0,M3
DGS,Department of General Services,DGS 36 Planning and Development,F,194980,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,M,192488.84,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032,0,11383.55,23
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,F,87523,64.59,8370.23,16
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,M,130181,0,8166.53,N25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,130181,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,130181,0,8166.53,N25
POL,Department of Police,POL 47 MSB Management and Budget Division,F,130181,0,8166.53,25
FIN,Department of Finance,FIN 32 Tax Operations,M,108899,2047.95,9205.07,21
FIN,Department of Finance,FIN 32 Tax Operations,F,130181,0,0,N25
CUS,Community Use of Public Facilities,CUS 70 Core Services Team,F,108899,361.41,10414.6,21
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,113837,0,6462.75,N22
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,76986,0,4829.55,13
